Chinese,Pinyin,Part,Definition,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
轻松,qīngsōng,Adj,"relaxed,to relaxed",他的工作很轻松。,Tā de gōngzuò hěn qīngsōng.,His work is simple.,他觉得夏天旅游比冬天旅游轻松多了。,Tā juéde xiàtiān lǚyóu bǐ dōngtiān lǚyóu qīngsōng duō le.,He thinks traveling in summer is more relaxed than in winter.
出发,chūfā,Verb,"to set off, to start (on a journey)",明天九点从家里出发。,Míngtiān jiǔ diǎn cóng jiā lǐ chūfā.,He departs tomorrow at 9 am from home.,你要几点出发去公司呢？,Nǐ yào jǐdiǎn chūfā qù gōngsī ne?,What time do you want to go to the company?
历史,lìshǐ,Noun,history,这座城市有许多历史古迹。,Zhè zuò chéngshì yǒu xǔduō lìshǐ ɡǔjì.,The city has many historical monuments.,你听过哪些历史故事？,Nǐ tīngguò nǎxiē lìshǐ gùshì.,Which historical stories you’ve heard?
现代,xiàndài,Noun/Adj,"modern times, modern age, modern era",你了解现代艺术吗？,Nǐ liǎojiě xiàndài yìshù ma?,Do you know about modern art?,这座城市有很多现代风格的大楼。,Zhè zuò chéngshì yǒu hěnduō xiàndài fēnggé de dàlóu.,The city has many modern buildings.
市中心,shì zhōngxīn,Noun,"city center, downtown",明天十点我们出发去市中心。,Míngtiān shí diǎn wǒmen chūfā qù shì zhōngxīn,Tomorrow at ten a.m. we'll set off to the city center.,他家住在市中心里。,Tā jiā zhù zài shì zhōngxīn lǐ.,He lives in the city center.
禁止,jìnzhǐ,Verb,"to prohibit, to forbid, to ban",这里禁止吃东西。,Zhèlǐ jìnzhǐ chī dōngxi.,Eating is forbidden here.,公车里禁止大声说话。,Gōngchē li jìnzhǐ dà shēng shuōhuà.,Speaking loudly is forbidden on the bus.
逛,guàng,Verb,"to stroll, to visit",我最喜欢出门逛逛。,Wǒ zuì xǐhuan chūmén guàng guàng.,I like to go shopping.,明天我会去市场逛逛。,Míngtiān wǒ huì qù shìchǎng guàng guàng.,I will go to the market tomorrow.
风格,fēnggé,Noun,style,这件衣服有中国的风格。,Zhè jiàn yīfu yǒu Zhōngguó de fēnggé.,This outfit is Chinese style.,我很喜欢现代风格的大楼。,Wǒ hěn xǐhuan xiàndài fēnggé de dàlóu.,I like the building with modern style.
当然,dāngrán,Adv,"certainly, of course",A: 我们可以谈一谈吗？ B: 当然！,A: Wǒmen kěyǐ tán yī tán ma? B: Dāngrán!,A: Can we talk? B: Of course.,我们当然要去美美的生日会啊！,Wǒmen dāngrán yào qù Měiměi de shēngrì huì a!,We certainly will go Meimei’s birthday party.
迷路,mílù,Verb Object,"to lose the way, lost,",因为我迷路，所以迟到了。,"Yīnwèi wǒ mílù, suǒyǐ chídàole.","Because I was lost, I was late.",他昨天在百货公司里迷路。,Tā zuótiān zài bǎihuò gōngsī lǐ mílù.,He was lost in the department store yesterday.
上车,shàng chē,Verb Object,"to get on or into (a bus, train, car etc)",上车吧！我开车带你去公司。,Shàng chē ba! Wǒ kāichē dài nǐ qù gōngsī.,"Get in the car, I will drive you to the office.",他上车以后发现坐错车了。,Tā shàng chē yǐhòu fāxiàn zuò cuòchēle.,He found out that he took a wrong bus only after got on the bus.
晴天,qíngtiān,Noun,sunny day,你喜欢晴天还是雨天呢？,Nǐ xǐhuan qíngtiān háishì yǔtiān ne?,Do you like sunny or rainy days?,今天是晴天，我们一起去走走吧！,"Jīntiān shì qíngtiān, wǒmen yīqǐ qù zǒu zǒu ba!",Today is a sunny day. Let's go for a walk!
来不及,láibují,Phrase,"there's not enough time (to do something), it's too late (to do something)",来不及了，快一点儿，要迟到了。,"Láibujíle, kuài yìdiǎnr, yào chídào le.",It is too late. Hurry up. We are going to be late.,上班来不及了，快上车。,"Shàngbān láibujíle, kuài shàng chē.","It’s almost late for work, get on the car quickly."
然后,ránhòu,Adv,"then, after that",煮火锅的方法不难。先把火打开，再把蔬菜、肉放进去锅子里，然后等一会儿就可以吃了。,"Zhǔ huǒguō de fāngfǎ bù nán. Xiān bǎ huǒ dǎkāi, zài bǎ shūcài, ròu fàng jìnqù guōzi lǐ, ránhòu děng yìhuǐr jiù kěyǐ chī le.","It is not difficult to make hotpot. First, turn on the stove, then put vegetables and meats in the pot. After waiting for a while, you can eat it.",我喜欢先喝汽水跟汤，然后再吃饭。,"Wǒ xǐhuan xiān hē qìshuǐ gēn tāng, ránhòu zài chīfàn.","I like to first drink soft drinks and soup, and then eat."
赶快,gǎnkuài,Adv,"at once, immediately",我们赶快走吧！要下雨了。,Wǒmen gǎnkuài zǒu ba! Yào xià yǔle.,Let's go! It is going to rain soon.,你看！公共汽车来了，赶快跑。,"Nǐ kàn! Gōnggòng qìchē lái le, gǎnkuài pǎo.","Look! The bus is coming, run quickly."
下车,xiàchē,Verb Object,"to get off or out of (a bus, train, car etc)",你下车以后，往右拐。医院就在那儿。,"Nǐ xiàchē yǐhòu, wǎng yòu guǎi. Yīyuàn jiù zài nà'er.","After you get off the bus, turn right. The hospital is right there.",赶快下车，大家都在等你呢！,"Gǎnkuài xià chē, dàjiā dōu zài děng nǐ ne!",Get off quickly. Everyone is waiting for you!
急,jí,Adj,"hurried, to make (somebody) anxious",这件事很急，我今天一定要做完。,"Zhè jiàn shì hěn jí, wǒ jīntiān yídìng yào zuò wán.","This is urgent, I have to finish it today.",今天早上太晚起床，急得把衣服穿错了,"Jīntiān zǎoshang tài wǎn qǐchuáng, jí de bǎ yīfu chuān cuòle.","I woke up too late today, I wore wrong clothes because i was in the hurry."
弄,nòng,Verb,"to do, to manage, to handle, to play with, to fool with, to mess with, to fix, to toy with",妈妈弄了一碗面。,Māmā nòngle yī wǎn miàn.,Mom made a bowl of noodles.,她把画弄坏了。,Tā bǎ huà nòng huài le.,She broke the painting.
坏,huài,Adj,"bad, spoiled, broken, to break down",他把东西弄坏了，妈妈很生气。,"Tā bǎ dōngxi nòng huài le, māma hěn shēngqì.","He broke something, Mom is very angry.",这台电脑坏了，已经不能用了。,"Zhè tái diànnǎo huài le, yǐjīng bùnéng yòng le.",This computer is broken. It can not work any more.
生气,shēngqì,Adj,"to get angry, angry",他看起来很生气，发生什么事了？,"Tā kàn qǐlái hěn shēngqì, fāshēng shénme shì le?",He looks very angry. What happened?,东西坏了，他很生气。,"Dōngxi huài le, tā hěn shēngqì.","Something is broken, he is very angry."
不小心,bù xiǎoxīn,Adj/Adv,"heedless, careless",我不小心把东西打破了。,Wǒ bù xiǎoxīn bǎ dōngxi dǎpò le.,I accidentally broke something.,他不小心弄坏了椅子，妈妈很生气。,"Tā bù xiǎoxīn nòng huài le yǐzi,māma hěn shēngqì.",He accidentally broke the chair. His mother was super angry.
搬家,bānjiā,Verb Object,to move (house),我昨天刚搬家，现在想去二手商店买一些东西。,"Wǒ zuótiān gāng bānjiā, xiànzài xiǎng qù èrshǒu shāngdiàn mǎi yīxiē  dōngxi.","I just moved yesterday, and now want to go to the second-hand shop to buy something.",谢谢你帮我搬家，我请你吃东西吧！,"Xièxiè nǐ bāng wǒ bānjiā, wǒ qǐng nǐ chī dōngxi ba!",Thank you for helping me move. Let me treat you to a meal!
请客,qǐngkè,Verb Object,"to treat, to invite to dinner",今天我请客，你想吃什么呢？,"Jīntiān wǒ qǐngkè, nǐ xiǎng chī shénme ne?","Today is my treat, what do you want to eat?","他昨天请客吗？你们去哪间餐厅吃
呢？",Tā zuótiān qǐngkè ma? Nǐmen qù nǎ jiān cāntīng chī ne?,Did he treat yesterday? Which restaurant did you go to?
整理,zhěnglǐ,Verb,"to arrange, to tidy up",把房间整理好，就可以吃晚餐。,"Bǎ fángjiān zhěnglǐ hǎo, jiù kěyǐ chī wǎncān.","After tidying up the room, you can eat dinner.",你赶快整理东西，妈妈要回家了。,"Nǐ gǎnkuài zhěnglǐ dōngxi, māmā yào huí jiā le.","Quickly tidy up your room, Mom is coming back home."
扫地,sǎodì,Verb Object,"to sweep the floor,",他喜欢扫地和整理房间。,Tā xǐhuan sǎodì hé zhěnglǐ fángjiān.,He likes to sweep and clean the room.,弟弟每个星期都帮妈妈扫地。,Dìdi měi ge xīngqī dōu bāng māma sǎodì.,My younger brother helps mother sweeping floor every week.
打破,dǎpò,Verb,"to break, to smash",他把我最喜欢的杯子打破了。,Tā bǎ wǒ zuì xǐhuan de bēizi dǎpò le.,My favorite mug was broken by him.,"整理房间的时候，他不小心打破了东
西。","Zhěnglǐ fángjiān de shíhou, tā bù xiǎoxīn dǎpòle dōngxi.","When cleaning the room, he accidentally broke something."
丢,diū,Verb,to lose,我的手机丢了，我好难过。,"Wǒ de shǒujī diū le, wǒ hǎo nánguò.","My cell phone is lost, I am so sad.",他怕丢钱。,Tā pà diū qián.,He is afraid of losing his money.
出事,chūshì,Verb Object,"to have an accident, to meet with a mishap",出事了，快打电话回家。,"Chūshì le, kuài dǎdiànhuà huí jiā.",Something happened! Call home!,为什么都不接电话，是不是出事了？,"Wèishénme dōu bù jiē diànhuà, shì búshì chūshì le?",Why did you all not pick up the phone? Did something happen?
奇怪,qíguài,Adj,"strange, odd",真奇怪，今天他没有来上班。,"Zhēn qíguài, jīntiān tā méiyǒu lái shàngbān.","Really strange, today he did not come to work.","今天的天气很奇怪，刚是雨天，现在是
晴天。","Jīntiān de tiānqì hěn qíguài, gāng shì yǔtiān, xiànzài shì qíngtiān.","The weather today is weird, It was just raining, and now is sunny day."
糊涂,hútú,Adj,"muddled, silly, confused",你真糊涂，手机不是在你的包包里吗？,"Nǐ zhēn hútú, shǒujī bùshì zài nǐ de bāo bāo lǐ ma?","You're so confused, isn't your phone in your bag?",我的弟弟很糊涂，常忘了带钱包出门。,"Wǒ de dìdì hěn hútú, cháng wàngle dài qiánbāo chūmén.","My younger brother is very careless, he often forget to bring his wallet when go out."
不见,bújiàn,Adj,"to have disappeared, to be missing",我的手机不见了，快帮我找一找。,"Wǒ de shǒujī bújiànle, kuài bāng wǒ zhǎo yī zhǎo.","My cell phone is gone, help me find it.",我买的鱼怎么不见了？,Wǒ mǎi de yú zěnme bùjiàn le?,Where's the fish I bought?
难过,nánguò,Adj,"to feel sad, to feel unwell",我最喜欢的杯子被打破了，我很难过。,"Wǒ zuì xǐhuan de bēizi bèi dǎpòle, wǒ hěn nánguò.","My favorite cup was broken, so I was very sad.",我的手机不见了，所以我很难过。,"Wǒ de shǒujī bùjiànle, suǒyǐ wǒ hěn nánguò.","My cellphone is missing, so I am sad."
好在,hǎo zài,Adv,"luckily, fortunately",好在你找到了手机，没有手机真不方便。,"Hǎo zài nǐ zhǎodàole shǒujī, méiyǒu shǒujī zhēn bù fāngbiàn.","Fortunately, you found your cell phone. It's really inconvenient without it.",好在我今天没出门，外面现在下大雨。,"Hǎo zài wǒ jīntiān méi chūmén, wàimiàn xiànzài xià dàyǔ.","Luckily I didn’t go out today, it’s raining heavily outside."
别急,bié jí,Phrase,"Dont rush, dont be anxious",别急！时间还没到呢！你可以慢慢来。,Bié jí! Shíjiān hái méi dào ne! Nǐ kěyǐ màn man lái.,Do not worry! Time is not yet up! You can do slowly.,别急，你的汉语会慢慢进步的。,"Bié jí, nǐ de hànyǔ huì màn man jìnbù de.","Don’t worry, your Chinese will improve gradually."
小偷,xiǎotōu,Noun,thief,我看到小偷跑了，快打电话给警察。,"Wǒ kàn dào xiǎotōu pǎole, kuài dǎdiànhuà gěi jǐngchá.","I saw the thief gone, call the police right now!",昨天我家的东西都让小偷给偷了。,Zuótiān wǒjiā de dōngxi dōu ràng xiǎotōu gěi tōule.,My things are all stolen by thief yesterday.
偷,tōu,Verb,to steal,我家的电视让小偷给偷了。,Wǒjiā de diànshì ràng xiǎotōu gěi tōule.,The thief stole my TV.,我放在桌上的电脑被偷了。,Wǒ fàng zài zhuō shàng de diànnǎo bèi tōule.,The computer I placed on the table was stolen.
戴,dài,Verb,"to put on or wear (glasses, hat, gloves etc)",那个人戴着红色的帽子，走得很快，太奇怪了。,"Nà gèrén dàizhe hóngsè de màozi, zǒu de hěn kuài, tài qíguài le.","The man, who wore a red hat, walked very quickly. It was so strange.",如果不戴眼镜，我看不到老师写在黑板的字。,"Rúguǒ bú dài yǎnjìng, wǒ kàn bú dào lǎoshī xiě zài hēibǎn de zì.","If I don’t wear glasses, I can’t see the words on the blackboard that are written by teacher."
背,bēi,Verb,to carry on the back or shoulder,"我背了太多东西，好重，你可以帮我
吗？","Wǒ bēi le tài duō dōngxi, hǎo zhòng, nǐ kěyǐ bāng wǒ ma?",I'm carrying too many things with me. They are so heavy. Can you help me?,今天我哥哥背着昨天买的新书包。,Jīntiān wǒ gēgē bēi zhe zuótiān mǎi de xīn shūbāo.,My brother is carrying the bag which he bought yesterday.
帽子,màozi,Noun,"hat, cap","这是我最喜欢的帽子，是我妈妈送给我
的。","Zhè shì wǒ zuì xǐhuan de màozi, shì wǒ māmā sòng gěi wǒ de.",This is my favorite hat. My mother gave me this hat.,我每天都戴着帽子去上课。,Wǒ měitiān dōu dàizhe màozi qù shàngkè.,I wear hat to class every day.
眼镜,yǎnjìng,Noun,"spectacles, eyeglasses",这副眼镜，很漂亮，我很喜欢。,"Zhè fù yǎnjìng, hěn piàoliang, wǒ hěn xǐhuan.",This glasses is beautiful. I like it so much.,放在洗手间的眼镜是谁的？,Fàng zài xǐshǒujiān de yǎnjìng shì shéi de?,Whose are the glasses left in the restroom?
背包,bèibāo,Noun,"knapsack,backpack","这个背包是爸爸送给我的，我已经用了
五年了。","Zhège bēibāo shì bàba sòng gěi wǒ de, wǒ yǐjīng yòng le wǔ nián le.",My father presented this backpack for me. I've already used for five years.,这个背包很大，能装很多东西。,"Zhège bēibāo hěn dà, néng zhuāng hěnduō dōngxi.","This bag is really big, you can put a lot of things in it."
鞋,xié,Noun,shoes,明天你陪我去百货公司买鞋吧！,Míngtiān nǐ péi wǒ qù bǎihuò gōngsī mǎi xié ba!,Tomorrow accompany me to the department store to buy shoes!,穿这双鞋去公司不太合适。,Chuān zhè shuāng xié qù gōngsī bù tài héshì.,It’s not appropriate to wearing this shoes to the office.
衬衫,chènshān,Noun,"shirt, blouse",这件衬衫我在百货公司买的。,Zhè jiàn chènshān wǒ zài bǎihuò gōngsī mǎi de.,This shirt I bought in the department store.,我真糊涂，今天穿错衬衫去公司。,"Wǒ zhēn hútú, jīntiān chuān cuò chènshān qù gōngsī.",How silly I am. I wore the wrong shirts to the office.
裤子,kùzi,Noun,"trousers, pants",这件裤子被他弄破了，妈妈很生气。,"Zhè jiàn kùzi bèi tā nòng pòle, māmā hěn shēngqì.","This pants were broken by him, so my mother was very angry.","我昨天整理房间的时候，发现小时候穿
过的裤子。","Wǒ zuótiān zhěnglǐ fángjiān de shíhou, fāxiàn xiǎoshíhou chuānguò de kùzi.","When I cleaned the room yesterday, I found the pants I had worn when I was little."
双,shuāng,Measure word,a pair of,这里有好多鞋子，你喜欢哪一双鞋呢？,"Zhèlǐ yǒu hǎoduō xiézi, nǐ xǐhuan nǎ yī shuāng xié ne?","There are a lot of shoes here, which pair of shoes do you like?",这双筷子是我在北京买的。,Zhè shuāng kuàizi shì wǒ zài běijīng mǎi de.,I bought this pair of chopsticks in Beijing.
跑,pǎo,Verb,to run,"公共汽车要来了，快跑，上班来不及
了。","Gōnggòng qìchē yào láile, kuài pǎo, shàngbān láibují le.","Bus is coming, we’re going to be late, run faster!","晴天的时候，我喜欢到我家附近的公园
跑一跑。","Qíngtiān de shíhou, wǒ xǐhuan dào wǒjiā fùjìn de gōngyuán pǎo yī pǎo.","In sunny day, I like to go running in the park where near my home."
警察,jǐngchá,Noun,"police, police officer",我迷路了，好在有警察的帮忙。,"Wǒ mílùle, hǎo zài yǒu jǐngchá de bāngmáng.","I was lost, but fortunately, a police helped me.","警察先生，请问这附近的历史博物馆在
哪儿？","Jǐngchá xiānshēng, qǐngwèn zhè fùjìn de lìshǐ bówùguǎn zài nǎ'er?","Police officer, May I ask where the nearby history museum is?"
怪不得,guàibùdé,Phrase,"no wonder!, so that's why!",原来今天是他的生日，怪不得他这么开心。,"Yuánlái jīntiān shì tā de shēngrì, guàibùdé tā zhème kāixīn.",It is his birthday today. No wonder he is so happy.,我昨天喝酒喝太多，怪不得今天早上头痛。,"Wǒ zuótiān hējiǔ hē tài duō, guàibùdé jīntiān zǎoshang tóutòng.","I drank too much yesterday, no wonder I have headache this morning."
左右,zuǒyòu,Adv,approximately,我昨天十二点左右才睡。,Wǒ zuótiān shí'èr diǎn zuǒyòu cái shuì.,I slept at about twelve o'clock yesterday.,我学了三个月左右的汉语。,Wǒ xuéle sān gè yuè zuǒyòu de hànyǔ.,I have learned Chinese for about three months.
比赛,bǐsài,Noun,"competition (sports etc), match",今天晚上是足球比赛，你要一起看吗？,"Jīntiān wǎnshàng shì zúqiú bǐsài, nǐ yào yīqǐ kàn ma?","Tonight is a football match, do you want to see it together?",明天晚上比赛才开始，下班以后一起去酒吧看吧！,"Míngtiān wǎnshàng bǐsài cái kāishǐ, xiàbān yǐhòu yīqǐ qù jiǔbā kàn ba!",The competition will begin tomorrow night. Let’s go watch the game at the bar after work!
赢,yíng,Verb,"to beat, to win",我最喜欢的球队赢了，我太高兴了。,"Wǒ zuì xǐhuan de qiú duì yíngle, wǒ tài gāoxìngle.","My favorite team won, I'm so happy",我相信他们一定会赢。,Wǒ xiāngxìn tāmen yídìng huì yíng.,I believe they will win!
进球,jìn qiú,Verb Object,to score a goal,是他踢进球的，真的是太厉害了。,"Shì tā tī jìn qiú de, zhēn de shì tài lìhàile.","It was his goal, he's really quite skilled.",进球了，我们赢了！,"Jìn qiúle, wǒmen yíngle!","He scored the goal, we won!"
秃,tū,Adj,bald,他的头有点儿秃，但是很帅。,"Tā de tóu yǒudiǎnr tū, dànshì hěn shuài.","His head is a bit bald, but he is still handsome.",我的爸爸头有点儿秃。,Wǒ de bàba tóu yǒudiǎn er tū.,My father is a little bald.
魅力,mèilì,Noun,charming,这个男人很有魅力，大家都很喜欢他。,"Zhège nánrén hěn yǒu mèilì, dàjiā dōu hěn xǐhuan tā.","This man is very attractive, we all like him.",他笑起来很有魅力。,Tā xiào qǐlái hěn yǒu mèilì.,He is very charming when he smiles.
球星,qiúxīng,Noun,sports star (ball sport),这是我最喜欢的球星，他很厉害。,"Zhè shì wǒ zuì xǐhuan de qiúxīng, tā hěn lìhài.","This is my favorite star, he is very powerful.",虽然这位球星不高，可是非常有魅力。,"Suīrán zhè wèi qiúxīng bù gāo, kěshì fēicháng yǒu mèilì.","He is not tall, but he is very attractive."
经过,jīngguò,Verb,to pass,"昨天经过学校的时候，我看见美美在打
篮球。","Zuótiān jīngguò xuéxiào de shíhou, Wǒ kànjiàn Měiměi zài dǎ lánqiú.",I saw Meimei playing basketball when I passing our school yesterday.,"我每天去学校都会经过一家很漂亮的
咖啡店。",Wǒ měitiān qù xuéxiào dūhuì jīngguò yījiā hěn piàoliang de kāfēi diàn.,I pass a beautiful coffee shop every day on the way to school.
圆,yuán,Adj,round shape,这张桌子是圆的，我很喜欢。,"Zhè zhāng zhuōzi shì yuán de, wǒ hěn xǐhuan.",This table is round shape and I like it.,他的脸圆圆的，很好看。,"Tā de liǎn yuán yuán de, hěn hǎokàn.",His face is round and nice-looking.
丈夫,zhàngfu,Noun,husband,那位穿白衬衫的是我的丈夫。,Nà wèi chuān bái chènshān de shì wǒ de zhàngfu.,That man with white shirts is my husband.,我的丈夫是导游。,Wǒ de zhàngfu shì dǎoyóu.,My husband is a tour guide.
位,wèi,Measure word,measure word for people (honorific),那位戴红色的帽子的男生是我的弟弟。,Nà wèi dài hóngsè de màozi de nánshēng shì wǒ de dìdi.,That man who is wearing a red hat is my younger brother.,今天有几位同事要一起去看电影呢？,Jīntiān yǒu jǐ wèi tóngshì yào yīqǐ qù kàn diànyǐng ne?,How many colleagues are going to watch movies today?
眼睛,yǎnjīng,Noun,eye,他的眼睛圆圆的，很漂亮。,"Tā de yǎnjīng yuán yuán de, hěn piàoliang.",His eyes are round and pretty.,他的眼睛是蓝色的。,Tā de yǎnjīng shì lánsè de.,His eyes are blue.
妻子,qīzi,Noun,wife,我的妻子喜欢吃蛋糕。,Wǒ de qīzi xǐhuan chī dàngāo.,My wife likes to eat cakes.,我的妻子是长头发。,Wǒ de qīzi shì zhǎng tóufǎ .,My wife is long hair.
脸,liǎn,Noun,face,这位脸红红的，笑得很开心的是谁？,"Zhè wèi liǎnhóng hóng de, xiào de hěn kāixīn de shì shéi?",Who is this with a red and laughing face?,你的脸怎么了？,Nǐ de liǎn zěnmele?,What's wrong with your face?
个子,gèzi,Noun,"height, stature",爸爸的个子高高的，脸胖胖的。,"Bàba de gèzi gāo gāo de, liǎn pàng pàng de.","Daddy is tall, and his face is fat.",他的个子好高。,Tā de gèzi hào gāo.,He is tall.
先生,xiānsheng,Noun,"Mr., husband",我的先生在医院工作。,Wǒ de xiānshēng zài yīyuàn gōngzuò.,My husband works in the hospital.,这位先生瘦瘦的，头发长长的。,"Zhè wèi xiānshēng shòu shòu de, tóufà zhǎng zhǎng de.",The gentleman is thin and long hair.
差不多,chàbùduō,Adv,"almost, nearly","从我家到历史博物馆走路差不多十分
钟。",Cóng wǒjiā dào lìshǐ bówùguǎn zǒulù chàbùduō shí fēnzhōng.,It takes about ten minutes walk from my home to history museum.,你的哥哥跟你差不多高。,Nǐ dí gēgē gēn nǐ chàbùduō gāo.,Your brother is almost as tall as you.
厉害,lìhài,Adj,"tremendous, awesome",他学汉语才三个月，就这么厉害了。,"Tā xué hànyǔ cái sān gè yuè, jiù zhème lìhàile.",He learned Chinese only three months but he is good at it.,你很厉害，这么难的汉字都会写。,"Nǐ hěn lìhài, zhème nán de hànzì dūhuì xiě.",It's so amazing that you could write such a difficult Chinese character.
听力,tīnglì,Noun,listening skill/ hearing,我的听力不好，也很怕跟中国人说话。,"Wǒ de tīnglì bù hǎo, yě hěn pà gēn Zhōngguó rén shuōhuà.","My hearing is not good, and very afraid to talk with Chinese people.",你平常怎么练习听力的？,Nǐ píngcháng zěnme liànxí tīnglì de?,How do you practice your listening?
努力,nǔlì,Adj/Adv,"great effort,  to try hard",因为想去中国，所以他每天都努力学习汉语。,"Yīnwèi xiǎng qù Zhōngguó, suǒyǐ tā měitiān dū nǔlì xuéxí hànyǔ.","Because he wanted to go to China, so he worked hard every day to learn Chinese.",每天努力学习，多练习就会很厉害了。,"Měitiān nǔlì xuéxí, duō liànxí jiù huì hěn lìhàile.",Study hard and practice every day then you will be good at it.
进步,jìnbù,Verb,"to improve, to get ahead","你的汉语怎么进步这么快？跟谁学
的？",Nǐ de hànyǔ zěnme jìnbù zhème kuài? Gēn shéi xué de?,How did your Chinese improve so fast? Who did you study with?,"每天努力学习，就会进步很快了，不要
担心。","Měitiān nǔlì xuéxí, jiù huì jìnbù hěn kuàile, bùyào dānxīn.","You will make progress quickly if you study hard every day, don't worry."
紧张,jǐnzhāng,Adj,nervous,你不要紧张，妈妈很快就会来接你了。,"Nǐ búyào jǐnzhāng, māmā hěn kuài jiù huì lái jiē nǐle.","You shouldn't be nervous, Mom will come to pick you up soon.","我每次跟中国人说话都会紧张，你会
吗？","Wǒ měi cì gēn Zhōngguó rén shuōhuà dūhuì jǐnzhāng, nǐ huì ma?","Every time I talk to the Chinese people, I get nervous. how 'bout you?"
难,nán,Adj,difficult,这个汉字很难，我写了好久还是不会。,"Zhège hànzì hěn nán, wǒ xiěle hǎojiǔ háishì bú huì.","This Chinese character is very difficult, I've been writing it for a long time but I can't master it.",你觉得汉语难吗？为什么？,Nǐ juéde hànyǔ nán ma? Wèishénme?,Do you think Chinese is difficult? Why?
容易,róngyì,Adj,easy,这个汉字非常容易，你一定也会写。,"Zhège hànzì fēicháng róngyì, nǐ yídìng yě huì xiě.","This character is very easy, you definitely could write it.",这个字真不容易写。,Zhège zì zhēn bù róngyì xiě.,The word is not easy to write.
过,guò,Verb,to pass,你每天多看多听和多说，过不久汉语就会进步了。,"Nǐ měitiān duō kàn duō tīng hé duō shuō,guò bu jiǔ hànyǔ jiù huì jìnbùle.","If you read more, listen more and speak more every day, soon your Chinese will progress.",时间过得真慢，现在才三点,"Shíjiānguò de zhēn màn, xiànzài cái sān diǎn.",Time pass so slowly that now is only three o'clock.
明白,míngbái,Verb,"to understand, to realize",你听明白老师说什么了吗？请再说一次。,Nǐ tīng míngbái lǎoshī shuō shénmeliǎo ma? Qǐng zàishuō yīcì.,Did you understand what the teacher said? Please say that again.,我已经说得很明白了，今天八点见，为什么你还是迟到了？,"Wǒ yǐjīng shuō de hěn míngbáile, jīntiān bā diǎn jiàn, wèishénme nǐ háishì chídào le?","I had said so clear that we meet at eight o'clock today, why are you still late?"
认为,rènwéi,Verb,"to believe, to think","在中国认为八是吉利的数字，所以大家
都喜欢。","Zài Zhōngguó rènwéi bā shì jílì de shùzì, suǒyǐ dàjiā dōu xǐhuān.","In China, eight is an auspicious number, so we all like it.",你认为在哪儿学汉语最好？,Nǐ rènwéi zài nǎ'er xué hànyǔ zuì hǎo?,Where do you think is the best place to learn Chinese?
吉利,jílì,Adj,"auspicious, lucky, propitious",我很喜欢九，因为长长久久，听起来很吉利。,"Wǒ hěn xǐhuan jiǔ, yīnwèi  cháng cháng jiǔ jiǔ, tīng qǐlái hěn jílì.","I like ''nine'' very much. Because it has the same sound as the word ''long'' in Chinese, it sounds very lucky.",妈妈认为打破杯子很不吉利。,Māmā rènwéi dǎpò bēizi hěn bù jílì.,Mom thought it was unlucky when the cup be broken.
发财,fācái,Verb Object,to get rich,他每天只想着发财，但是不努力工作。,"Tā měitiān zhǐ xiǎngzhe fācái, dànshì bù nǔlì gōngzuò.","He only wants to make a fortune every day, but he does not work hard.",在中国，数字八听起来就跟发财的意思是一样的。,"Zài Zhōngguó, shùzì bā tīng qǐlái jiù gēn fācái de yìsi shì yīyàng de.","In China, the number eight has the similar sound as the word ''making a fortune'' in Chinese, so people regard the number eight as the meaning of fortunate."
数字,shùzì,Noun,number,"你看得到那张纸上的数字是三还是二
吗？",Nǐ kàn dédào nà zhāng zhǐ shàng de shùzì shì sān háishì èr ma?,Can you see that number on the sheet is three or two?,我最喜欢数字九，你喜欢那个数字呢？,"Wǒ zuì xǐhuan shùzì jiǔ, nǐ xǐhuan nàgè shùzì ne?","I like the number nine, do you like that number?"
意思,yìsi,Noun,meaning,你知道这个汉字的意思吗？请说一说。,Nǐ zhīdào zhège hànzì de yìsi ma? Qǐng shuō yì shuō.,Do you know the meaning of this Chinese character? Please talk about it.,你明白他说的意思吗?,Nǐ míngbái tā shuō de yìsi ma?,Do you understand what he meant?
友谊,yǒuyì,Noun,friendship,你认为友谊重要吗？,Nǐ rènwéi yǒuyì zhòngyào ma?,Do you think friendship is important?,友谊对我很重要。,Yǒuyì duì wǒ hěn zhòngyào.,Friendship is important to me.
活,huó,Verb,"to live, alive","这只猫活了十多年了，到现在身体还很
好。","Zhè zhī māo huó le shí duō nián le, dào xiànzài shēntǐ hái hěn hǎo.","The cat lived for more than a decade, and still now its health is good.",中国人喜欢九，因为希望活得很久。,"Zhōngguó rén xǐhuan jiǔ, yīnwèi xīwàng huó de hěnjiǔ.","Chinese people like the number nine, because they hope to live a long time."
约会,yuēhuì,Verb Object,to have a date,你昨天跟女朋有去哪儿约会呢？,"Nǐ zuótiān gēn nǚ péng yǒu qù nǎ‘er
yuēhuì ne？",Did you have a date with your girlfriend?,情人节你去哪儿约会？,Qíngrén jié nǐ qù nǎ'er yuēhuì?,Where do you go to on Valentine's Day?
