载,zài,Verb,to give somebody a ride,我姐姐载我去超市买东西。,Wǒ jiějie zài wǒ qù chāoshì mǎi dōngxi.,My older sister drives me to buy things in the supermarket.,妈妈载弟弟去上汉语课。,Māma zài dìdi qù shàng Hànyǔ kè.,My mother drives younger brother to Chinese class.
汽车,qìchē,Noun,car,我有三辆汽车。,Wǒ yǒu sān liàng qìchē.,I have three cars.,这辆新的汽车太贵了！,Zhè liàng xīn de qìchē tài guìle!,This new car is too expensive!
开,kāi,Verb,"to drive ( a machine, car, airplan), to open",我爸爸每天都开车去上班。,Wǒ bàba měitiān dōu kāi chē qù shàngbān.,My father drives to work every day.,开车的时候，我喜欢听音乐。,"Kāichē de shíhou, wǒ xǐhuan tīng yīnyuè.",I like listening to music while driving.
风景,fēngjǐng,Noun,scenery,这儿的风景很漂亮。,Zhèr de fēngjǐng hěn piàoliang.,The scenery here is pretty.,"你比较喜欢山上的风景还是海边的风
景？",Nǐ bǐjiào xǐhuan shānshàng de fēngjǐng háishì hǎibiān de fēngjǐng?,Do you prefer scenery in a mountain or at the beach?
便宜,piányí,Adj,cheap,汽车在中国很便宜。,Qìchē zài Zhōngguó hěn piányi.,Cars are cheap in China.,在中国去饭馆吃饭很便宜。,Zài Zhōngguó qù fànguǎn chīfàn hěn piányi.,It’s cheap to go to eat at the restaurant in China.
等,děng,Verb,to wait,请你等我一起去上课。,Qǐng nǐ děng wǒ yìqǐ qù shàngkè.,Please wait for me to go to class together.,可以请你等我吗?,Kěyǐ qǐng nǐ děng wǒ ma?,Can you wait for me?
迟到,chídào,Verb,to be late,他上班迟到了。,Tā shàngbān chídào le.,She is late for work.,上汉语课的时候，不可以迟到。,"Shàng Hànyǔ kè de shíhou, bù kěyǐ chídào.",You can not be late for Chinese class.
从不,cóng bù,Adv,never,我从不爬山。,Wǒ cóngbù páshān.,I never go mountain climbing.,他上班从不迟到。,Tā shàngbān cóngbù chídào.,He is never late for work.
约,yuē,Verb,to make an appointment/to invite.,他朋友约我一起去爬山。,Tā péngyou yuē wǒ yìqǐ qù páshān .,His friend asked me to go mountain climbing together.,老师约我们下课一起去吃饭。,Lǎoshī yuē wǒmen xiàkè yìqǐ qù chīfàn.,The teacher asked us to eat a meal after class.
上次,shàngcì,Noun,last time,上次我们看电影的时候，他也迟到了。,"Shàngcì wǒmen kàn diànyǐng de shíhou, tā yě chídào le.","Last time he was also late for watching a movie,.",你上次已经迟到了，今天还是迟到。,"Nǐ shàngcì yǐjīng chídào le, jīntiān háishì chídào","You were late last time, you are still late today."
已经,yǐjīng,Adv,already,"今天早上我去等公交车，我到公车站的
时候, 公车已经走了。","Jīntiān zǎoshàng wǒ qù děng gōngjiāochē, wǒ dào gōngchē zhàn de shíhou, gōngchē yǐjīng zǒu le.","This morning I was going to wait for a bus, but when I arrived at the bus stop, the bus had already left.",我已经开车去超市了。,Wǒ yǐjīng kāichē qù chāoshì le.,I have already driven to supermarket.
慢,màn,Adj,slow,他说中文，说得很慢,"Tā shuō zhōngwén,shuō de hěn màn.",He speaks Chinese slowly,你为什么那么慢？,Nǐ wèishénme nàme màn?,Why are you so slow?
多久,duōjiǔ,Phrase,how long..?,请问从超市到邮局要多久?,Qǐngwèn cóng chāoshì dào yóujú yào duōjiǔ?,How long does it take to get from the supermarket to the post office?,从你家到博物馆坐地铁要多久?,Cóng nǐ jiā dào bówùguǎn zuò dìtiě yào duōjiǔ?,How long does it takes from your house to the museum by subway?
练习,liànxí,Verb,to practice,我常在家练习做菜。,Wǒ cháng zài jiā liànxí zuòcài.,I often practice cooking at home,老师说我们要多练习写汉字。,Lǎoshī shuō wǒmen yào duō liànxí xiě hànzì.,Teacher said we should practice Chinese writing more.
说话,shuōhuà,Verb Object,to speak/ to talk,他喜欢跟美国人说话，练习英语。,"Tā xǐhuan gēn Měiguó rén shuōhuà, liànxí yīngyǔ.",He likes to speak with Americans to practice his English.,我喜欢跟中国人说话，练习我的汉语。,"Wǒ xǐhuan gēn Zhōngguó rén shuōhuà, liànxí wǒ de hànyǔ.",I like to practice Chinese by talking to Chinese.
为什么,wèishénme,Phrase,why,现在已经晚上十二点了，你为什么不睡觉?,"Xiànzài yǐjīng wǎnshàng shíèrdiǎn le, nǐ wèi shénme bú shuìjiào?","It’s already twelve a.m. now, why are you not sleeping?",你为什么想学汉语?,Nǐ wèi shénme xiǎng xué hànyǔ?,Why do you learn Chinese?
有用,yǒuyòng,Adj,useful,这个东西很有用也很方便。,Zhège dōngxi hěn yǒuyòng yě hěn fāngbiàn.,This thing is useful and convenient.,你觉得学汉语有用吗?,Nǐ juéde xué hànyǔ yǒuyòng ma?,Do you think Chinese is useful?
放假,fàngjià,Verb Object,to have a vacation,我明天放假。,Wǒ míngtiān fàngjià.,I'll be on holiday tomorrow.,我从星期一到星期五都放假。,Wǒ cóng xīngqī yī dào xīngqī wǔ dōu fàngjià.,I have break from Monday to Friday.
因为,yīnwèi,Conj,Because,"因为我喜欢吃中国菜，所以我常去中国
饭馆。","Yīnwèi wǒ xǐhuan chī Zhōngguó cài, suǒyǐ wǒ cháng qù Zhōngguó fànguǎn.","I like to eat Chinese food, so I go to Chinese restaurant frequently.","因为我放三天假, 所以我想出去玩儿。","Yīnwèi wǒ fàng sān tiān jià, suǒyǐ wǒ xiǎng chūqù wánr.","Because I have three days vacation, so I would like to go out and have fun."
所以,suǒyǐ,Conj,therefore,因为我喜欢爬山，所以周末我都去。,"Yīnwèi wǒ xǐhuan páshān, suǒyǐ zhōumò wǒ dōu qù.","I like to climb the mountain, so I go there on weekends.","他常练习说中文, 所以说得不错。","Tā cháng liànxí shuō Zhōngwén, suǒyǐ shuō de búcuò.","He often practices speaking Chinese, so he speaks well."
刚,gāng,Adv,just,我刚放假，你想去哪儿玩儿?,"Wǒ gāng fàngjià, nǐ xiǎng qù nǎr wánr?","I just have holiday, where do you want to go?",我刚起床，我们一起去吃早饭吧!,"Wǒ gāng qǐchuáng, wǒmen yìqǐ qù chī zǎofàn ba.","I just woke up, let’s go eat breakfast together."
看见,kànjiàn,Verb,"to see, to catch sight of",你昨天看见什么了?,Nǐ zuótiān kànjiàn shénme le?,What did you see yesterday?,我刚看见他和他的朋友在一起逛街。,Wǒ gāng kànjiàn tā hé tā de péngyǒu zài yìqǐ guàngjiē.,I just saw he and his friend shopping together.
以前,yǐqián,Noun,Noun/ before,我三年以前不会说汉语，现在说得很好。,"Wǒ sān nián yǐqián búhuì shuō Hànyǔ, xiànzài shuō de hěnhǎo.","I couldn’t speak Chinese three years ago, but now I can speak well.","他两天以前还在美国，现在已经在中国
了。","Tā liǎngtiān yǐqián háizài Měiguó, xiànzài yǐjīng zài Zhōngguó le.","He was in USA two days ago, now he is in China."
书法,shūfǎ,Noun,calligraphy,我喜欢写书法。,Wǒ xǐhuan xiě shūfǎ.,I like to write calligraphy.,我妈妈写的书法很漂亮。,Wǒ māma xiě de shūfǎ hěn piàoliang.,My mother’s calligraphy looks really nice.
Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
开始,kāishǐ,Verb,to start,从明天开始，我不上汉语课了。,"Cóng míngtiān kāishǐ, wǒ bú shàng Hànyǔ kè le.",From tomorrow I don’t take Chinese class anymore.,篮球比赛三点开始，你要来看比赛吗?,"Lánqiú bǐsài sāndiǎn kāishǐ, nǐ yào lái kàn bǐsài ma?","The basketball game starts at three p. m., are you coming?"
学校,xuéxiào,Noun,school,这是我的学校，很漂亮吧?,"Zhè shì wǒ de xuéxiào, hěn piàoliang ba?","This is my school. It's really pretty, isn't it?",我弟弟的学校在那条路，往前走右拐就到了。,"Wǒ dìdi de xuéxiào zài nà tiáo lù, wǎng qián zǒu yòuguǎi jiù dào le.","My younger brother’s school is on that road, just go forward and turn right."
课,kè,Noun,"lesson, class",你今天上什么课?,Nǐ jīntiān shàng shénme kè?,What class do you have today?,我明天没课，我们一起去爬山吧。,"Wǒ míngtiān méi kè, wǒmen yìqǐ qù páshān ba.","I don’t have class tomorrow, let’s go mountain climbing."
可能,kěnéng,Adv,"maybe, might, probably",我可能不能去他家玩儿。,Wǒ kěnéng bù néng qù tā jiā wánr.,I might not go to his house to hang out.,他可能会迟到，我们等他吧。,"Tā kěnéng huì chídào, wǒmen děng tā ba.","He might be late, let’s wait for him."
最近,zuìjìn,Noun,recently,他最近工作很忙，不常给我打电话。,"Tā zuìjìn gōngzuò hěn máng, bù cháng gěi wǒ dǎdiànhuà.","He has been busy recently, only rarely does he call me.",最近我很忙。,Zuìjìn wǒ hěn máng.,"Recently, I'm very busy."
喂,wéi,Phrase,Hello (when answer the telephone),喂，你好，请问有什么事?,"Wéi, nǐhǎo, qǐngwèn yǒu shénme shì?","Hello, how can I help you?","喂，我现在不方便接电话，你可以三十分
钟之后再打吗？","Wéi, wǒ xiànzài bù fāngbiàn jiē diànhuà, nǐ kěyǐ sānshí fēnzhōng zhīhòu zài dǎ ma?","Hello, it's not a good time to talk right now, can you give me a call in thirty minutes?"
开会,kāihuì,Verb Object,to hold a meeting,我下午一点要开会。,Wǒ xiàwǔ yì diǎn yào kāihuì.,I have meeting at one p.m.,我们公司每个下午都开会。,Wǒmen gōngsī měi ge xiàwǔ dōu kāihuì.,Our company has a meeting every afternoon.
打电话,dǎdiànhuà,Verb Object,to make a phone call,你晚上可以打电话来我家。,Nǐ wǎnshàng kěyǐ dǎdiànhuà lái wǒ jiā.,You can call me at night.,他喜欢打电话跟朋友聊天。,Tā xǐhuan dǎdiànhuà gēn péngyou liáotiān.,He likes to call his friend and chat.
那,nà,Adv,"then, in that case","A: 今天外面下雨，不能打篮球。 B: 那我
们去看电影吧。","A: Jīntiān wàimiàn xiàyǔ, bùnéng dǎ lánqiú. B: Nà wǒmen qù kàn diànyǐng ba.","A: It’s raining outside, we can’t play basketball.  B: Then let’s see a movie.","A: 那个东西多少钱？ B: 五十元。A: 那
这个东西要多少钱?",A: Nàgè dōngxī duōshǎo qián?  B: Wǔ shí yuán. A: Nà zhège dōngxi yào duōshǎo qián?,A: How much does this thing cost?  B: Fifty dollars. A: Then how much does this cost?
桌子,zhuōzi,Noun,table,我家有三张桌子。,Wǒ jiā yǒu sān zhāng zhuōzi.,I have three tables at home.,他公司有很多桌子和椅子。,Tā gōngsī yǒu hěnduō zhuōzi hé yǐzi.,There are a lot of tables and chairs in his company.
生日会,shēngrì huì,Noun,birthday party,他的生日会是一月二十五日。,Tā de shēngrì huì shì yī yuè èrshíwǔ rì.,His birthday party is on the twenty-fifth of January.,你会去他的生日会吗?,Nǐ  huì qù tā de shēngrì huì ma?,Are you going to his birthday party?
苹果派,píngguǒ pài,Noun,apple pie,我不喜欢吃苹果派。,Wǒ bù xǐhuan chī píngguǒ pài.,I don’t like to eat apple pie.,我妈妈做的苹果派很好吃。,Wǒ māma zuò de píngguǒ pài hěn hǎo chī.,The apple pie my mother made is really tasty.
邀请,yāoqǐng,Verb,to invite,我想邀请你跟你的家人来我的生日会。,Wǒ xiǎng yāoqǐng nǐ gēn nǐ de jiārén lái wǒ de shēngrì huì.,I would like to invite you and your family to my birthday party.,他邀请朋友一起去看篮球比赛。,Tā yāoqǐng péngyou yìqǐ qù kàn lánqiú bǐsài.,He invites his friend to watch the basketball game together.
好久不见,hǎojiǔ bújiàn,Phrase,"long time, no see",好久不见，你好吗?,"Hǎojiǔ bújiàn, nǐhǎo ma?","Long time no see, how are you?",好久不见，你最近新工作怎么样?,"Hǎojiǔ bújiàn, nǐ zuìjìn xīn gōngzuò zěnmeyàng?","Long time no see, how’s your new job?"
给,gěi,Verb,to give,因为我要考试，所以他给我很多书。,"Yīnwèi wǒ yào kǎoshì, suǒyǐ tā gěi wǒ hěnduō shū.",He gives me a lot of books because I have a test.,你要给他什么?,Nǐ yào gěi tā shénme?,What are you going to give him?
礼物,lǐwù,Noun,gift,我不知道他喜欢什么礼物。,Wǒ bù zhīdào tā xǐhuan shénme lǐwù.,I don’t know what present he likes.,你想要什么礼物?,Nǐ xiǎng yào shénme lǐwù?,What present would you like?
蓝色,lánsè,Noun,blue,我有一件蓝色的衣服。,Wǒ yǒu yí jiàn lánsè de yīfú.,I have a blue t-shirt.,我有很多蓝色的杯子。,Wǒ yǒu hěnduō lánsè de bēizi.,I have a lot of blue cups.
饺子,jiǎozi,Noun,dumplings,饺子是中国菜的一种。,Jiǎozi shì Zhōngguó cài de yì zhǒng.,Dumpling is a kind of Chinese food.,我不喜欢吃饺子。,Wǒ bù xǐhuan chī jiǎozi.,I don’t like to eat dumplings.
旅游,lǚyóu,Verb,travel,我喜欢和我的朋友一起去旅游。,Wǒ xǐhuan hé wǒ de péngyou yìqǐ qù lǚyóu.,I like to go travelling with my friends.,下个星期我们家要去美国旅游。,Xiàge xīngqī wǒmen jiā yào qù Měiguó lǚyóu.,My family and I are going to travel in America next week.
经验,jīngyàn,Noun,experience,他的工作经验不多。,Tā de gōngzuò jīngyàn bùduō.,He doesn’t have much working experience.,他的旅游经验很多。,Tā de lǚyóu jīngyàn hěn duō.,He has a lot of traveling experience.
次,cì,Measure word,"Measure word for enumerated events, time",这件事情我说了三次了。,Zhè jiàn shìqing wǒ shuō le sān cì le.,I have told you about this three times.,我们公司每周都开一次会。,Wǒmen gōngsī měi zhōu dōu kāi yí cì huì.,Our company has meeting once a week.
快乐,kuàile,Adj,happy,旅游是一件很快乐的事情。,Lǚyóu shì yí jiàn hěn kuàilè de shìqing.,Traveling is a very happy thing.,生日快乐! 这是给你的礼物。,Shēngrì kuàilè! Zhè shì gěi nǐ de lǐwù.,Happy Birthday! This present is for you.
最,zuì,Adv,"the most, ""-est""",我最喜欢的人是我爸爸妈妈。,Wǒ zuì xǐhuan de rén shì wǒ bàba māma.,I like my parents the most.,离我家最远的商店要走一小时。,Lí wǒ jiā zuì yuǎn de shāngdiàn yào zǒu yì xiǎoshí.,The most far away shop from my house take an hour by walking.
有名,yǒumíng,Adj,famous,这是这儿最有名的饭馆。,Zhè shì zhèr zuì yǒumíng de fànguǎn.,This is the most famous restaurant here.,我家附近的海边很有名，放假的时候常常很多人来玩儿。,"Wǒ jiā fùjìn de hǎibiān hěn yǒumíng, fàngjià de shíhou cháng cháng hěn duō rén lái wánr.","The beach nearby my house is really famous, during the holidays there are frequently lots of people."
飞机,fēijī,Noun,airplane,从美国到中国要坐十几个小时的飞机。,Cóng Měiguó dào Zhōngguó yào zuò shí jǐ ge xiǎoshí de fēijī.,It takes more than ten hours from America to China by plane.,我常坐飞机去旅游。,Wǒ cháng zuò fēijī qù lǚyóu.,I often take travel by plane.
听说,tīngshuō,Verb,to hear (sb. said),听说你去过中国很多次？,Tīngshuō nǐ qùguò Zhōngguó hěnduō cì?,I heard that you have been to China many times?,我听说你弹吉他。,Wǒ tīngshuō nǐ dàn jítā.,I hear you play the guitar.
高兴,gāoxìng,Adj,"glad, happy",很高兴你也喜欢日本菜。,Hěn gāoxìng nǐ yě xǐhuan Rìběn cài.,I'm glad you liked Japanese food.,我太高兴了。,Wǒ tài gāoxìngle.,I'm too happy.
旅馆,lǚguǎn,Noun,"hostel, hotel",你去旅游的时候喜欢住哪种旅馆？,Nǐ qù lǚyóu de shíhou xǐhuan zhù nǎ zhǒng lǚguǎn？,"When you travel, which kind of hotel do you like to stay at?",旅馆在哪里？,Lǚguǎn zài nǎlǐ?,Where is the hotel?
纪念品,jìniànpǐn,Noun,souvenir,你会买纪念品给你家人吗？,Nǐ huì mǎi jìniànpǐn gěi nǐ jiārén ma?,Will you buy souvenirs for your family?,外国人常到这里来买纪念品。,Wàiguó rén cháng dào zhèlǐ lái mǎi jìniànpǐn.,Foreigners often come here to buy souvenirs.
计划,jìhuà,Verb,"to plan, to plan to do sth.",你计划去哪几个国家旅游？,Nǐ jìhuà qù nǎ jǐ ge guójiā lǚyóu?,What countries are you planning to go to?,他今年有一个旅游的计划。,Tā jīnnián yǒu yí gè lǚyóu de jìhuà.,He has a traveling plan this year.
习惯,xíguàn,Verb,to get used to,你习惯吃哪国菜？,Nǐ xíguàn chī nǎguó cài?,Which country’s food do you get used to eat?,"我刚到这里的时候, 不习惯的事有很多。","Wǒ gāng dào zhèlǐ de shíhou, bù xíguàn de shì yǒu hěn duō.",There were a lot of things that I didn't get used to when I arrived here.
去年,qùnián,Noun,last year,你去年去过哪些国家？,Nǐ qùnián qùguò nǎxiē guójiā?,What countries did you visit last year?,去年她在日本。,Qùnián tā zài rìběn.,Last year she was in Japan.
回国,huíguó,Verb Object,to return to home country,他二月三日回国。,Tā èr yuè sān rì huíguó.,He will return home on 3rd February.,你什么时候回国?,Nǐ shénme shíhou huíguó?,When will you return to your home country?
打算,dǎsuàn,Verb,to plan,我打算三点去图书馆看书。,Wǒ dǎsuàn sān diǎn qù túshūguǎn kànshū.,I plan to go to library to read books at 3pm.,他打算三月回国。,Tā dǎsuàn sān yuè huíguó.,He plans to return home in March.
北京,běijīng,Noun,Peking,我爸爸的公司在北京，他在那儿工作。,"Wǒ bàba de gōngsī zài Běijīng, tā zài nàr gōngzuò.","My dad’s company is in Peking, he is working there.",我们放假的时候打算去北京玩儿。,Wǒmen fàngjià de shíhou dǎsuàn qù Běijīng wánr.,We plan to go to Peking on our vacation.
外国,wàiguó,Noun,abroad/foreign country,我跟我的朋友放假要去外国旅游。,Wǒ gēn wǒ de péngyou fàngjià yào qù wàiguó lǚyóu.,My friend and I are going abroad during our vacation.,外国的饭馆都很贵，可是很好吃。,"Wàiguó de fànguǎn dōu hěn guì, kěshì hěn hǎo chī.",Foreign restaurant is very expensive but very good.
只,zhǐ,Adv,only,放假的时候，他的家人只喜欢在家休息。,Fàngjià de shíhou tā de jiārén zhǐ xǐhuan zài jiā xiūxi.,His family only like to stay at home during holiday.,我只喜欢去这家饭馆吃饭。,Wǒ zhǐ xǐhuan qù zhè jiā fànguǎn chīfàn.,I only like to eat in this restaurant.
Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
后天,hòutiān,Noun,the day after tomorrow,因为他后天要去北京工作，所以明天晚上我们一起去酒吧喝酒聊天吧!,"Yīnwèi tā hòutiān yào qù Běijīng gōngzuò, suǒyǐ míngtiān wǎnshàng wǒmen yìqǐ qù jiǔbā hējiǔ liáotiān ba.","He is going to work in Peking the day after tomorrow, so let’s go to the bar and have a drink tomorrow night.",你后天有空吗？,Nǐ hòutiān yǒu kòng ma?,Do you have free time the day after tomorrow?
女朋友,nǚpéngyou,Noun,girlfreind,我的女朋友是美国人。,Wǒ de nǚpéngyou shì Měiguó rén.,My girlfriend is American.,我的女朋友后天要回国了。,Wǒ de nǚpéngyou hòutiān yào huí guó le.,My girlfriend is leaving back to her country the day after tomorrow.
走,zǒu,Verb,to leave,真舍不得你走，要常回来看我们。,"Zhēn shěbude nǐ zǒu, yào cháng huílái kàn women.","Really don’t want you to go, come back to visit us often.",他要走了，你去说再见吧!,"Tā yào zǒu le, nǐ qù shuō zàijiàn ba!","He is leaving, go and say goodbye."
舍不得,shěbude,Verb,to hate to part with,我们舍不得你回国。,Wǒmen shěbude nǐ huí guó.,We don’t want you to return to your country.,我爸爸妈妈舍不得我到外国去学习。,Wǒ bàba māma shěbude wǒ dào wàiguó qù xuéxi.,My parent don’t want me to go abroad to study.
同学,tóngxué,Noun,classmate,我汉语课的同学是美国人。,Wǒ Hànyǔ kè de tóngxué shì Měiguó rén.,My classmate from Chinese class is an American.,我同学已经在图书馆等我们了。,Wǒ tóngxué yǐjīng zài túshūguǎn děng wǒmen le.,My classmate is already waiting for us in the library.
想,xiǎng,Verb,to miss,他到中国去工作三年了，他的家人都很想他。,"Tā dào Zhōngguó qù gōngzuò sān nián le, tā de jiārén dōu hěn xiǎng tā.","He was working in China for 3 years, his family miss him a lot.",我女朋友回国了，我很想他。,"Wǒ nǚpéngyou huí guó le, wǒ hěn xiǎng tā.","My girlfriend is back to her country, I miss her a lot."
写信,xiě xìn,Verb,to write a letter,你回国以后要常写信给我。,Nǐ huí guó yǐhòu yào cháng xiěxìn gěi wǒ.,You have to write me a letter more often when you are back home.,我很喜欢写信、看电视。,"Wǒ hěn xǐhuan xiěxìn, kàn diànshì.",I like to write letters and watch TV.
搭,dā,Verb,to take (transportation),从美国搭飞机到中国要十三个小时。,Cóng Měiguó dā fēijī dào Zhōngguó yào shí sān gè xiǎoshí.,It takes thirteen hours from America to China by plane.,我们要一起搭飞机到日本去玩儿。,Wǒmen yào yìqǐ dā fēijī dào Rìběn qù wánr.,We want to take a plane to Japan together.
回来,huílái,Verb,to come back,已经很晚了，你妹妹怎么还没回来?,"Yǐjīng hěn wǎn le, nǐ mèimei zěnme háiméi huílái?","It’s late, why is your younger sister not back yet?",我爸爸刚从美国回来。,Wǒ bàba gāng cóng Měiguó huílái.,My father just came back from America.
天气,tiānqì,Noun,weather,今天天气不错，我们要不要一起出门去玩儿?,"Jīntiān tiānqì búcuò, wǒmen yào búyào yìqǐ chūmén qù wánr?","Today’s weather is good, how about go out and play?",昨天的天气不好，很冷，我们都在家里没有出门。,"Zuótiān de tiānqì bù hǎo, hěn lěng, wǒmen dōu zài jiā lǐ méiyǒu chūmén.","Yesterday’s weather was bad, it was cold. We all stayed at home."
冷,lěng,Adj,cold,今天外面很冷，早一点儿回来。,"Jīntiān wàimiàn hěn lěng, zǎo yìdiǎnr huílái.","It’s really cold outside, come back home early.",北京的天气很冷，因为开车出门不方便，所以很多人都搭地铁。,"Běijīng de tiānqì hěn lěng, yīnwèi kāichē chūmén bù fāngbiàn, suǒyǐ hěn duō rén dōu dā dìtiě.",The weather in Beijing is cold. Driving is not convenient therefore a lot of people take a subway.
热,rè,Adj,hot,天气很热，我们去游泳吧!,"Tiānqì hěn rè, wǒmen qù yóuyǒng ba!","It’s so hot, let’s go swimming.",我有一点儿热，你可以给我一点儿水吗?,"Wǒ yǒu yìdiǎnr rè, nǐ kěyǐ gěi wǒ yìdiǎnr shuǐ ma?","I am a bit warm, can you give me some water?"
滑雪,huáxuě,Verb Object,to  ski,"放假的时候，我都跟我的家人去日本滑
雪。","Fàngjià de shíhou, wǒ dōu gēn wǒ de jiārén qù Rìběn huáxuě.","During vacation time, I often go to Japan to ski with my family.",滑雪不难，可是很累。,"Huáxuě bù nán, kěshì hěn lèi.","Skiing is not hard, but very tired."
游泳,yóuyǒng,Noun,to swim,天气很热的时候，我们都喜欢去游泳。,"Tiānqì hěn rè de shíhou, wǒmen dōu xǐhuan qù yóuyǒng.","When it’s hot, we all like to go swimming.",我游泳之后都会吃很多东西。,Wǒ yóuyǒng zhīhòu dōu huì chī hěnduō dōngxi.,I always eat a lot after swimming.
下雪,xiàxuě,Verb Object,to snow,外面下雪了，真漂亮。,"Wàimiàn xiàxuě le, zhēn piàoliang.","It’s snowing outside, it’s very pretty.",因为下雪的时候，开车不方便，所以很多人会坐地铁上班。,"Yīnwèi xiàxuě de shíhou, kāi chē bù fāngbiàn, suǒyǐ hěn duō rén huì zuò dìtiě shàngbān.","It’s not convenient when snowing, so a lot of people will take a subway to go to work."
舒服,shūfu,Adj,comfortable,今天的天气不冷也不热，很舒服。,"Jīntiān de tiānqì bù lěng yě bú rè, hěn shūfu.",Today is not so cold and not so warm. It's comfortable.,"他今天不来上汉语课，因为他可能不太
舒服。","Tā jīntiān bù lái shàng Hànyǔ kè, yīnwèi tā kěnéng bú tài shūfu.","He is not coming to Chinese class today, because he isn’t feeling well."
岁,suì,Measure word,year old,你是几岁开始学中文的？,Nǐ shì jǐ suì kāishǐ xué Zhōngwén de?,How old did you start to learn Chinese?,你几岁开始旅游？,Nǐ jǐ suì kāishǐ lǚyóu?,How old do you start to travel?
高,gāo,Adj,high；tall,你的家人都比你高吗？,Nǐ de jiārén dōu bǐ nǐ gāo ma?,Is your family all taller than you?,这个大楼比那个大楼高吗？,Zhège dàlóu bǐ nàgè dàlóu gāo ma?,Is this building taller than that building?
那么,nàme,Conj,so then...,为什么你的中文说得那么好？,Wèishénme nǐ de zhōngwén shuō dé nàme hǎo?,Why do you speak Chinese so well?,为什么你那么喜欢中国菜？,Wèishénme nǐ nàme xǐhuan Zhōngguó cài?,Why do you like Chinese food so much?
胖,pàng,Adj,fat,哪个比较胖？,Nǎge bǐjiào pàng?,Which one is fatter?,哪个比较不那么胖？,Nǎge bǐjiào bú nàme pàng?,Which one is less fat?
矮,ǎi,Adj,short,弟弟比较矮。,Dìdì bǐjiào ǎi.,My younger brother is shorter.,哥哥没有弟弟那么矮。,Gēge méiyǒu dìdi nàme ǎi.,My older brother is not as short as my younger brother.
瘦,shòu,Adj,thin,瘦的人健康吗？,Shòu de rén jiànkāng ma?,Are thin people healthy?,你家人没有你那么瘦吗？,Nǐ jiārén méiyǒu nǐ nàme shòu ma?,Your family isn't as skinny as you?
长,cháng,Adj,long,那条路不长。,Nà tiáo lù bù cháng.,That road is not long.,他学中文的时间很长。,Tā xué Zhōngwén de shíjiān hěn cháng.,He studied Chinese for a long time.
头发,tóufà,Noun,hair,他的头发很长吗？,Tā de tóufà hěn cháng ma?,Is his hair very long?,他的头发没有我的那么长。,Tā de tóufà méiyǒu wǒ de nàme cháng.,His hair is not as long as mine.
医生,yīshēng,Noun,doctor,我今天不舒服，我想我得去看医生。,"Wǒ jīntiān bù shūfu, wǒ xiǎng wǒ dĕi qù kàn yīshēng.","I don’t feel well, I think I need to see a doctor.",我想做医生。,Wǒ xiǎng zuò yīshēng.,I want to be a doctor.
生病,shēngbìng,Verb Object,to be sick,他生病了。所以今天不来上班。,"Tā shēngbìng le, suǒyǐ jīntiān bù lái shàngbān.","He is sick, so he will not come to work today.",我昨天生病了。,Wǒ zuótiān shēngbìngle.,I was sick yesterday.
看病,kànbìng,Verb Object,to see a doctor,"我跟我妹妹今天都不舒服, 所以我们下午的时候就一起去看病了。","Wǒ gēn wǒ mèimei jīntiān dōu bù shūfu, suǒyǐ wǒmen xiàwǔ de shíhou jiù yìqǐ qù kànbìng le.","My younger sister and I both don’t feel well, so we go to see a doctor in the afternoon together.",我们打算今天下午去看病，听说那个医生很有名，可是很早就休息了。,"Wǒmen dǎsuàn jīntiān xiàwǔ qù kànbìng. Tīngshuō nàge yīshēng hěn yǒumíng, kěshì hěn zǎo jiù xiūxi le.",We plan to see a doctor this afternoon. We heard that he is famous. But the clinic closed early.
药,yào,Noun,medicine,这个药每天上午、中午、晚上都要吃一次。,"Zhè gè yào měitiān shàngwǔ, zhōngwǔ, wǎnshàng dōu yào chī yícì.","This medicine has to be taken once in the morning, noon and night.",医生说吃完饭要吃药。,Yīshēng shuō chī wánfàn yào chīyào.,The doctor said you have to eat medicine after your meal.
身体,shēntǐ,Noun,"body, health",我爸爸的身体不太好，所以他常常生病。,"Wǒ bàba de shēntǐ bú tài hǎo, suǒyǐ tā cháng cháng shēngbìng.",My dad’s health is in bad condition therefore he is often sick.,"从外国回来以后，我的身体很好，所以不
要担心。","Cóng wàiguó huí lái yǐhòu, wǒ de shēntǐ hěn hǎo, suǒyǐ bú yào dānxīn.","After coming back from abroad, I'm healthy, so don’t worry."
水果,shuǐguǒ,Noun,fruit,你生病要多吃点儿水果。,Nǐ shēngbìng yào duō chī diǎnr shuǐguǒ.,"When you are sick, you should eat more fruit.",我喜欢吃水果，也喜欢吃蔬菜。,Wǒ xǐhuan chī shuǐguǒ yě xǐhuan chī shūcài.,I like to eat fruit and vegetables.
